"Year","Month","ONI","SOI","DMI","MEI"
2007,3,-0.03,0.1,0.275,-0.22
2007,4,-0.23,0.7,0.291,-0.36
2007,5,-0.29,0.6,0.483,-0.44
2007,6,-0.41,1.4,0.239,-0.86
2007,7,-0.54,0.6,0.358,-0.77
2007,8,-0.84,0.9,0.533,-0.93
2007,9,-1.13,1.1,0.616,-1.1
2007,10,-1.4,1.4,0.444,-1.14
2007,11,-1.54,0.7,0.241,-1.13
2007,12,-1.6,2.5,0.004,-1.22
2008,1,-1.59,1.3,0.303,-1.08
2008,2,-1.42,2.4,0.112,-1.27
2008,3,-1.19,1.6,0.269,-1.54
2008,4,-0.92,0.9,0.041,-1.13
2008,5,-0.75,0.4,0.395,-0.98
2008,6,-0.54,0.3,0.421,-0.86
2008,7,-0.35,0.7,0.551,-0.87
2008,8,-0.26,0.3,0.417,-1.08
2008,9,-0.3,0.1,0.467,-1.07
2008,10,-0.41,0.9,0.403,-1.12
2008,11,-0.6,1.2,0.139,-1.05
2008,12,-0.73,1.4,0.174,-1.05
2009,1,-0.8,1,0.218,-1.01
2009,2,-0.69,1,0.348,-0.85
2009,3,-0.52,0.4,0.264,-0.94
2009,4,-0.24,0.5,0.318,-0.81
2009,5,0.09,0.7,0.468,-0.72
2009,6,0.35,0,0.303,-0.06
2009,7,0.47,0,0.113,0.49
2009,8,0.54,0.1,0.194,0.52
2009,9,0.65,0,0.272,0.39
2009,10,0.95,-0.8,0.355,0.56
2009,11,1.31,-0.3,0.183,1.05
2009,12,1.57,-0.5,0.382,0.96
2010,1,1.55,-1.9,0.473,0.93
2010,2,1.31,-1.2,0.209,1.28
2010,3,0.94,-0.9,0.628,1.31
2010,4,0.44,-0.1,0.559,0.49
2010,5,-0.09,1,0.181,-0.17
2010,6,-0.59,1.5,0.063,-1.33
2010,7,-1.03,1.8,0.306,-2.43
2010,8,-1.38,1.6,0.241,-2.4
2010,9,-1.61,1.6,0.117,-2.28
2010,10,-1.7,2.3,-0.063,-2.18
2010,11,-1.69,2.1,-0.221,-2.04
2010,12,-1.59,3,0.021,-1.91
2011,1,-1.37,1.7,0.373,-1.83
2011,2,-1.09,2,0.418,-1.63
2011,3,-0.83,1.8,0.537,-1.79
2011,4,-0.64,1.2,0.351,-1.74
2011,5,-0.47,0.4,0.124,-1.29
2011,6,-0.38,0.6,0.259,-1.08
2011,7,-0.46,0.4,0.53,-0.86
2011,8,-0.65,0.5,0.643,-0.88
2011,9,-0.89,1,0.579,-1.16
2011,10,-1.06,1.2,0.728,-1.37
2011,11,-1.14,1.4,0.592,-1.21
2011,12,-1.03,1.3,0.097,-1.24
2012,1,-0.81,1.8,0.227,-1.08
2012,2,-0.62,1.5,0.1,-0.67
2012,3,-0.5,0.1,0.195,-0.59
2012,4,-0.38,0.2,-0.065,-0.43
2012,5,-0.18,0.1,-0.124,-0.35
2012,6,0.05,0,0.215,-0.28
2012,7,0.27,-0.2,0.853,0.3
2012,8,0.33,0.2,0.941,-0.06
2012,9,0.31,0.4,0.833,-0.32
2012,10,0.21,0.4,0.483,-0.22
2012,11,0.01,0.6,0.16,-0.07
2012,12,-0.21,0.6,0.488,-0.07
2013,1,-0.38,0,0.118,-0.05
2013,2,-0.33,1.1,0.372,-0.07
2013,3,-0.24,0.3,0.246,-0.14
2013,4,-0.21,0.8,-0.103,-0.37
2013,5,-0.27,1.2,-0.293,-0.71
2013,6,-0.34,1.2,-0.294,-1.18
2013,7,-0.38,1,0.12,-0.85
2013,8,-0.35,0.5,0.098,-0.5
2013,9,-0.31,0.5,0.076,-0.38
2013,10,-0.23,0,0.213,-0.16
2013,11,-0.22,0.6,0.453,-0.18
2013,12,-0.27,0.8,0.368,-0.35
2014,1,-0.37,-0.2,0.089,-0.51
2014,2,-0.36,0,0.092,-0.43
2014,3,-0.17,0,0.014,-0.08
2014,4,0.13,-0.6,0.136,-0.16
2014,5,0.3,0.4,0.119,-0.18
2014,6,0.23,0.2,0.18,-0.01
2014,7,0.07,0.1,-0.052,0.32
2014,8,0.03,0.1,-0.077,0.16
2014,9,0.18,-0.1,0.237,-0.15
2014,10,0.44,0.1,0.496,0.07
2014,11,0.59,0,0.267,0.34
2014,12,0.66,-0.1,0.266,0.34
2015,1,0.6,-1,0.077,0.23
2015,2,0.56,-0.5,-0.165,0.05
2015,3,0.62,-0.9,-0.076,0.13
2015,4,0.79,-1.1,0.186,0.35
2015,5,1.02,-1.8,0.451,0.96
2015,6,1.25,-1.9,0.495,1.85
2015,7,1.54,-1.7,0.527,1.73
2015,8,1.83,-2.2,0.856,1.92
2015,9,2.11,-2.2,0.668,2.21
2015,10,2.37,-2.1,0.851,2.11
2015,11,2.53,-2.1,0.594,1.88
2015,12,2.64,-3.2,0.49,1.9
2016,1,2.53,-1.8,0.438,1.94
2016,2,2.23,-2.6,0.066,1.81
2016,3,1.68,-1.2,0.161,1.31
2016,4,1.03,-1,0.341,1.33
2016,5,0.48,0,0.104,1.26
2016,6,0,-0.1,-0.229,0.36
2016,7,-0.34,0.3,-0.435,-0.51
2016,8,-0.57,0.4,-0.145,-0.28
2016,9,-0.68,0.6,-0.055,-0.34
2016,10,-0.74,0.2,0.01,-0.6
2016,11,-0.71,0.2,-0.098,-0.51
2016,12,-0.56,0.5,-0.075,-0.34
2017,1,-0.29,0.8,0.099,-0.41
2017,2,-0.06,0.1,0.283,-0.41
2017,3,0.15,0,0.528,-0.58
2017,4,0.29,-1,0.703,-0.21
2017,5,0.39,0.2,0.751,0.17
2017,6,0.38,-0.1,0.633,-0.29
2017,7,0.16,0.2,0.826,-0.7
2017,8,-0.14,0.5,0.643,-0.77
2017,9,-0.44,0.5,0.414,-0.8
2017,10,-0.7,0.3,0.389,-0.63
2017,11,-0.88,1.5,0.545,-0.63
2017,12,-0.97,0.9,0.342,-0.73
2018,1,-0.87,1.3,-0.018,-0.77
2018,2,-0.76,0.5,0.391,-0.7
2018,3,-0.6,0.1,0.043,-0.79
2018,4,-0.41,0.9,0.11,-1.29
2018,5,-0.13,0.6,0.332,-0.91
2018,6,0.06,0.1,0.362,-0.51
2018,7,0.11,0.4,0.362,-0.17
2018,8,0.2,0.4,0.415,0.36
2018,9,0.43,-0.7,0.975,0.52
2018,10,0.7,-0.3,1.05,0.41
2018,11,0.85,-0.6,0.743,0.26
2018,12,0.82,-0.2,NA,0.13
2019,1,0.81,-0.6,NA,0.08
2019,2,0.83,-1.4,NA,0.52
2019,3,0.82,-1.2,NA,0.77
2019,4,0.76,0,NA,0.33
2019,5,0.64,-0.5,NA,0.26
2019,6,0.53,-0.3,NA,0.35
2019,7,0.31,-0.2,NA,0.24
2019,8,0.1,0,NA,0.3
2019,9,NA,-0.1,NA,0.15
2019,10,NA,NA,NA,NA
2019,11,NA,NA,NA,NA
2019,12,NA,NA,NA,NA
