"Year","Month","CCMP.1","CCMP.2","CCMP.3","CCMP.4","CCMP.5","CCMP.6","CCMP.7","CCMP.8","CCMP.9","CCMP.10","CCMP.11","CCMP.12","CCMP.13","CCMP.14"
1987,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,7,2.66959649085999,2.52200448036194,2.64151864051819,3.314899559021,4.16529325485229,3.5945797252655,3.1662088394165,3.19282182693481,3.63474331855774,4.22828538894653,3.85631447792053,4.22608795166016,4.21314774513245,3.01467063300003
1987,8,2.94610264778137,3.03839343070984,3.26350481987,3.64023681640625,4.02307269096374,3.354574842453,3.35384237289429,3.74717691421509,3.9191845035553,3.88243909835815,3.7081120300293,3.66135626792908,3.36446314811707,2.79837990230357
1987,9,0.440944879949093,0.389428064823151,0.287004818320274,0.425318926274776,-0.312885308563709,0.76811329126358,0.801318438053131,1.01117010831833,1.11725569248199,0.409204663038254,1.28999573230743,0.959653296470642,1.35103461265564,0.117779758731289
1987,10,1.45968381881714,1.674418592453,1.77293535232544,2.4383812379837,3.25337237358093,0.980040278434753,1.41475918292999,1.83897943496704,2.49758895397186,3.50106817245483,1.88866505384445,3.63645241737366,3.29231519699097,1.1042800524531
1987,11,-0.58292131870985,0.0627479696273804,0.352926812171936,0.1998413002491,-0.825611907243729,-1.15033876180649,-0.348409941196442,0.447048770785332,0.238662026524544,-0.424464384615421,-1.07587133646011,-0.460233162939548,-1.73448085546494,-1.53796311172508
1987,12,-1.18049196004868,-1.27119575500488,-1.40108648300171,-1.59750961303711,-1.94103644371033,-1.78111455440521,-1.63120307922363,-1.7181224489212,-1.8598547410965,-1.73020814418793,-2.46316303253174,-1.77098210811615,-2.2498931646347,-1.21328321094873
1988,1,0.651162789463997,0.406396875679493,0.198376363515854,-0.508209725320339,-4.18983091831207,1.00567660570145,0.670573154687881,0.580845996141434,0.13282060533762,-2.03271680355072,-0.443264355361462,-0.644692672789097,-0.921320871114731,-0.0289663838652464
1988,2,2.13831408977509,1.55331746101379,0.877861188650131,0.501983759403229,-0.899591032266617,2.40700726509094,1.92028321266174,1.76255873203278,1.27436976909637,-0.210950374901295,1.09113103628159,0.346700843274593,0.339620333909988,1.89617826776392
1988,3,2.8449001789093,2.88359884262085,2.83208203315735,3.1417933177948,4.02697917938232,2.81963008880615,3.11872060775757,3.36898002624512,3.24250745773315,3.6716107749939,2.90825857162476,3.23835681915283,2.89995725631714,2.45892786485909
1988,4,3.9069767665863,3.67661596298218,2.84575473308563,2.97149485111237,4.0277116394043,4.03332722663879,4.18531398773193,4.10413236618042,4.31715808868408,4.39382285118103,4.47451629638672,5.08881158828735,4.99517795562744,2.70776063309619
1988,5,3.09027648925781,2.9039858341217,2.6757004070282,3.65598487854004,5.13764270782471,3.61923945426941,3.21821397781372,3.31099308013916,4.21912961006165,5.45467863082886,4.14258683204651,5.74900815963745,5.50546300888062,4.12738417591569
1988,6,4.01342854499817,4.92766893386841,5.08868951797485,5.6161874961853,6.98101690292358,4.60367450714111,5.7009094619751,6.81438077926636,7.69675880432129,7.84960021972656,8.23963863372803,9.12287130355835,8.94488189697266,2.89530169399532
1988,7,4.88616250991821,4.72306659698486,4.6138069820404,5.38472803115845,6.81315992355347,5.87950929641724,5.53683698654175,5.680400390625,5.95495328903198,6.42788259506226,6.15418418884277,5.80760543823242,5.55856674194336,5.11874227128791
1988,8,5.1789049911499,5.12702194213867,4.56766160011292,4.69193676948547,4.68156012535095,6.07690896987915,5.90795337677002,6.05981805801392,6.19141790390015,5.41805530548096,6.46572662353516,6.36318132400513,6.79960929870605,4.06918051962316
1988,9,5.54306289672852,5.02960384368896,4.18641276359558,4.42971369743347,4.77531589508057,6.22621007919312,5.77720804214478,5.42782150268555,5.48800584793091,5.09576997756958,5.74107303619385,5.38887866973877,5.25129705429077,4.58286423090647
1988,10,0.738570463657379,0.48562534481287,0.23658670425415,0.597204415798187,1.05804796814919,0.406396872103214,0.554599281549454,0.544588897228241,0.764328870773315,1.1802478146553,0.537752543091774,1.20258804798126,1.00201427936554,0.697107368231525
1988,11,1.53549410820007,1.15973874092102,0.403344924151897,-0.279924311935902,-1.00396753072739,0.80839895427227,1.02252334475517,0.658731610774994,-0.299090522229671,-1.20832570314407,-0.860526160597801,-1.46896171331406,-1.77916131973267,0.153734908918657
1988,12,0.404565707445145,0.57620704382658,0.36073979049921,-0.299578826725483,-2.62845632553101,-0.178721846044064,0.358908621966839,0.699017269909382,0.0949765008687973,-1.6312030518055,-0.9946896058321,-1.02191295385361,-1.7739119720459,-1.2746471499903
1989,1,0.343160590529442,0.120979063510895,-0.0946102660894394,-1.19587376773357,-3.86083131790161,0.123420619368553,0.14099981546402,-0.161142649352551,-1.17316729664803,-3.15705302715302,-1.44869680643082,-2.53750835895538,-2.63517058849335,-0.864422525439037
1989,2,2.73564059257507,2.46096562862396,1.81456387519836,1.45577734351158,-1.25788927614689,2.27589572906494,2.74162239074707,3.05755966186523,2.70084843158722,0.663492640256882,1.59775376796722,1.94115849971771,0.635780988335609,1.81057936940673
