"Year","Month","CHL.1","CHL.2","CHL.3","CHL.4","CHL.5","CHL.6","CHL.7","CHL.8","CHL.9","CHL.10","CHL.11","CHL.12","CHL.13","CHL.14"
1997,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,9,1.53250539474762,1.5332093516534,1.13202686592152,0.845952951261457,0.752903796363585,0.387469332085715,0.589476471747223,0.474462865138209,0.45749692505271,0.311164056201895,0.395982355058911,0.252566040145705,0.179606404267028,0.711468003331179
1997,10,0.596245790958405,0.651929254856026,0.670950053011378,0.450388579496316,0.423131312158975,0.301921468250145,0.269082873618814,0.227972921644208,0.189066832021969,0.209028630640851,0.159777939544026,0.161304776793754,0.123178972250964,0.729801070096122
1997,11,0.482263020934567,0.540261785403408,0.686968308510417,0.275944418319455,0.248029563713957,0.15566331439117,0.165073141500805,0.213392753907967,0.134702772739724,0.141463489310276,0.120994735663459,0.123628926876734,0.120652624003633,0.423611041448884
1997,12,0.556404907920564,0.426209485235293,0.464190433422724,0.358053899530707,0.258019161630761,0.19321235388341,0.181825766372963,0.209590240026869,0.159525506242492,0.145030579182523,0.152537568874613,0.133168542526177,0.134831384794247,0.595902793271657
1998,1,0.517568658688106,0.488569194004555,0.52582389600575,0.279066610644604,0.184751375155015,0.188526070241392,0.18688404868693,0.237774811023791,0.191399264000577,0.155637657853979,0.179687524423797,0.157923995125929,0.153428967711488,0.791801368255143
1998,2,0.397957439933504,0.474823506656757,0.386566438211882,0.257168971158408,0.26091386472637,0.18755422241589,0.219213520281414,0.186881665030175,0.158266296312654,0.167679909241975,0.168267289033303,0.145415894643089,0.143583964402154,0.675621007904789
1998,3,0.623681234545074,0.63914890550077,0.416463001406398,0.292241104000004,0.272259628382799,0.249111601763223,0.283891343594303,0.203732590350879,0.170816710273895,0.176783708778359,0.182567543708361,0.168085247190041,0.16817048404898,0.766667724704024
1998,4,0.410919101202282,0.327164114678948,0.458149652005336,0.325743387590666,0.306331393393603,0.22490050401208,0.216935052935566,0.227233068301127,0.223528365940737,0.19501045076962,0.211038779023857,0.208418788289177,0.204869721930451,0.703804721186986
1998,5,0.486370652606807,0.871778639565621,0.576050612625185,0.478832850451855,0.490626173598744,0.223875616265066,0.22358337681869,0.175030408101482,0.225322622253049,0.210295157825075,0.188228693854365,0.177875998810198,0.165187257325508,0.60232044042963
1998,6,0.179952146485448,3.67824981230147,1.45040060606386,1.69506124434648,5.18939802381727,0.231737216553056,0.275705756563129,0.284159230983863,0.806662112029631,1.11255881623788,0.333088513098511,0.259205071555991,0.154092351528438,0.778798181542082
1998,7,2.04936426877975,16.2250650852127,6.48592379289804,3.60255739837885,5.39339863294843,NA,0.808898861209551,1.56699783084667,1.09907639937953,5.05808385057622,0.902616346456918,2.87600179550783,1.64960488012642,1.31932847805925
1998,8,1.15240445931753,2.94379127025604,3.16764659020636,6.23898229996363,3.29290730409,0.728776497973336,1.25963211694702,1.19988639503717,4.41017626864569,2.59323139558005,1.0217041768811,7.59853763658492,3.58225095327254,0.968803465133533
1998,9,2.83592869490385,2.6128971120425,2.04748833103705,2.04004564285278,3.82637963436618,1.0676922062477,1.32703673712364,0.915355090635369,0.692912194150977,1.68724995195156,0.445343689899892,0.471110554412007,0.291458069595672,1.51801591568862
1998,10,1.92868350375266,2.08215049753586,1.7584946049472,1.49565773194944,1.58199786156723,0.715758367226674,0.703281322050662,0.72733241584174,0.597644577784972,0.515480722083985,0.378153454622573,0.361435947333567,0.239248119515075,1.74909467721472
1998,11,0.891688863979653,1.09153726920486,0.972304345162447,0.764088770039648,1.55205836585749,0.317375646716744,0.331904087357129,0.330730061184975,0.313615551519537,0.342164170988918,0.233616712266171,0.230647775654991,0.223359094480791,0.780092547203196
1998,12,0.842743773013353,0.819115935046165,0.663764665195765,0.541770113931669,0.337460358711806,0.306464924085775,0.375064535782887,0.330465853126091,0.31239412769058,0.283920238709309,0.231749512563796,0.2742142195885,0.257291977574839,0.917473959413605
1999,1,0.502337574842386,0.563176506366886,0.473605884993372,0.348324615481897,0.231497487536183,0.265663224211811,0.275184545732109,0.275538930526147,0.235911909556953,0.220072469591389,0.234903346592858,0.221963017914422,0.241551665952925,0.698299616799882
1999,2,0.564026442822069,0.496367909136366,0.469066179242016,0.393540649578489,0.26492080593651,0.310777884792294,0.287408026100616,0.272266138587478,0.247395409723005,0.235307527981566,0.247339665008014,0.227432543004053,0.211176103124252,0.596063149005629
1999,3,0.584928846994384,0.521444864884144,0.531378805885712,0.547296687439605,0.443097010533386,0.309882874231367,0.243819123629988,0.22431519415957,0.244459091735309,0.295645004898839,0.259599325478457,0.22564401698835,0.201651215101733,0.765197624609233
1999,4,1.90342030260298,NA,NA,NA,NA,0.273419248312712,NA,NA,NA,0.242658940454324,0.21592178940773,0.201539371300627,0.275684276452431,0.686525159648487
