time,latitude,longitude,uwnd,vwnd,nobs
UTC,degrees_north,degrees_east,m s-1,m s-1,count
2010-07-28T00:00:00Z,7.125,68.875,8.258561,1.3977904,1.0
2010-07-28T00:00:00Z,7.125,69.125,8.191418,1.1597388,0.0
2010-07-28T00:00:00Z,7.125,69.375,8.136483,0.84844047,0.0
2010-07-28T00:00:00Z,7.125,69.625,8.072392,0.52798635,0.0
2010-07-28T00:00:00Z,7.125,69.875,8.008301,0.20142831,0.0
2010-07-28T00:00:00Z,7.125,70.125,8.002197,0.048831105,0.0
2010-07-28T00:00:00Z,7.125,70.375,8.0479765,0.07324666,0.0
2010-07-28T00:00:00Z,7.125,70.625,8.0968075,0.09766221,0.0
2010-07-28T00:00:00Z,7.125,70.875,8.145638,0.12818165,0.0
2010-07-28T00:00:00Z,7.125,71.125,7.901483,-0.11902582,0.0
2010-07-28T00:00:00Z,7.125,71.375,7.3643413,-0.6378563,0.0
2010-07-28T00:00:00Z,7.125,71.625,6.8119392,-1.1536349,0.0
2010-07-28T00:00:00Z,7.125,71.875,6.2412257,-1.6633096,0.0
2010-07-28T00:00:00Z,7.125,72.125,5.905512,-1.9471403,0.0
2010-07-28T00:00:00Z,7.375,68.125,8.447782,1.8464261,1.0
2010-07-28T00:00:00Z,7.375,68.375,8.469145,1.7243484,1.0
2010-07-28T00:00:00Z,7.375,68.625,8.478301,1.6053226,0.0
2010-07-28T00:00:00Z,7.375,68.875,8.456937,1.4801929,1.0
2010-07-28T00:00:00Z,7.375,69.125,8.414209,1.2940242,1.0
2010-07-28T00:00:00Z,7.375,69.375,8.347067,1.040713,0.0
2010-07-28T00:00:00Z,7.375,69.625,8.27382,0.78740156,0.0
2010-07-28T00:00:00Z,7.375,69.875,8.209729,0.5310383,0.0
2010-07-28T00:00:00Z,7.375,70.125,8.145638,0.3326619,0.0
2010-07-28T00:00:00Z,7.375,70.375,8.0845995,0.18922053,0.0
2010-07-28T00:00:00Z,7.375,70.625,8.023561,0.048831105,0.0
2010-07-28T00:00:00Z,7.375,70.875,7.9655743,-0.08850638,0.0
