time,LEV,latitude,longitude,u,v
UTC,millibar,degrees_north,degrees_east,,
2010-01-01T00:00:00Z,1000.0,6.75,71.75,-2.8248358,-1.9043026
2010-01-01T00:00:00Z,1000.0,6.75,72.0,-2.7862616,-1.8051815
2010-01-01T00:00:00Z,1000.0,7.0,68.0,-3.5260077,-3.4541073
2010-01-01T00:00:00Z,1000.0,7.0,68.25,-3.4791327,-3.3940487
2010-01-01T00:00:00Z,1000.0,7.0,68.5,-3.387824,-3.3305721
2010-01-01T00:00:00Z,1000.0,7.0,68.75,-3.3126287,-3.2797909
2010-01-01T00:00:00Z,1000.0,7.0,69.0,-3.2598944,-3.196783
2010-01-01T00:00:00Z,1000.0,7.0,69.25,-3.2042303,-3.128912
2010-01-01T00:00:00Z,1000.0,7.0,69.5,-3.1788397,-3.0322323
2010-01-01T00:00:00Z,1000.0,7.0,69.75,-3.1178045,-2.9243221
2010-01-01T00:00:00Z,1000.0,7.0,70.0,-3.0792303,-2.823248
2010-01-01T00:00:00Z,1000.0,7.0,70.25,-3.0333319,-2.719244
2010-01-01T00:00:00Z,1000.0,7.0,70.5,-2.9976873,-2.5830135
2010-01-01T00:00:00Z,1000.0,7.0,70.75,-2.963996,-2.4399471
2010-01-01T00:00:00Z,1000.0,7.0,71.0,-2.8931952,-2.2968807
2010-01-01T00:00:00Z,1000.0,7.0,71.25,-2.8346014,-2.1752987
2010-01-01T00:00:00Z,1000.0,7.0,71.5,-2.7413397,-2.0600643
2010-01-01T00:00:00Z,1000.0,7.0,71.75,-2.67591,-1.9321346
2010-01-01T00:00:00Z,1000.0,7.0,72.0,-2.5987616,-1.8427792
2010-01-01T00:00:00Z,1000.0,7.25,68.0,-3.4713202,-3.5234432
2010-01-01T00:00:00Z,1000.0,7.25,68.25,-3.4176092,-3.4599667
2010-01-01T00:00:00Z,1000.0,7.25,68.5,-3.3155584,-3.3950253
2010-01-01T00:00:00Z,1000.0,7.25,68.75,-3.2432928,-3.3325253
2010-01-01T00:00:00Z,1000.0,7.25,69.0,-3.1695623,-3.2500057
2010-01-01T00:00:00Z,1000.0,7.25,69.25,-3.1153631,-3.1992245
2010-01-01T00:00:00Z,1000.0,7.25,69.5,-3.0679998,-3.1069393
2010-01-01T00:00:00Z,1000.0,7.25,69.75,-3.009406,-3.0112362
2010-01-01T00:00:00Z,1000.0,7.25,70.0,-2.9742498,-2.9018612
2010-01-01T00:00:00Z,1000.0,7.25,70.25,-2.9141912,-2.7924862
2010-01-01T00:00:00Z,1000.0,7.25,70.5,-2.8717108,-2.6684628
2010-01-01T00:00:00Z,1000.0,7.25,70.75,-2.8106756,-2.5258846
2010-01-01T00:00:00Z,1000.0,7.25,71.0,-2.7476873,-2.3764706
2010-01-01T00:00:00Z,1000.0,7.25,71.25,-2.6871405,-2.2426815
2010-01-01T00:00:00Z,1000.0,7.25,71.5,-2.603156,-2.1210995
2010-01-01T00:00:00Z,1000.0,7.25,71.75,-2.5269842,-1.9975643
2010-01-01T00:00:00Z,1000.0,7.25,72.0,-2.4112616,-1.9096737
2010-01-01T00:00:00Z,1000.0,7.5,68.0,-3.4146795,-3.5815487
2010-01-01T00:00:00Z,1000.0,7.5,68.25,-3.3507147,-3.5044003
2010-01-01T00:00:00Z,1000.0,7.5,68.5,-3.2569647,-3.4394588
2010-01-01T00:00:00Z,1000.0,7.5,68.75,-3.1798162,-3.3637753
2010-01-01T00:00:00Z,1000.0,7.5,69.0,-3.0929022,-3.2929745
2010-01-01T00:00:00Z,1000.0,7.5,69.25,-3.0450506,-3.2495174
2010-01-01T00:00:00Z,1000.0,7.5,69.5,-2.9669256,-3.162115
2010-01-01T00:00:00Z,1000.0,7.5,69.75,-2.9112616,-3.0918026
2010-01-01T00:00:00Z,1000.0,7.5,70.0,-2.8653631,-2.9648495
2010-01-01T00:00:00Z,1000.0,7.5,70.25,-2.8033514,-2.866705
2010-01-01T00:00:00Z,1000.0,7.5,70.5,-2.7535467,-2.7587948
2010-01-01T00:00:00Z,1000.0,7.5,70.75,-2.6627264,-2.61524
2010-01-01T00:00:00Z,1000.0,7.5,71.0,-2.6124334,-2.4707088
2010-01-01T00:00:00Z,1000.0,7.5,71.25,-2.5465155,-2.3266659
2010-01-01T00:00:00Z,1000.0,7.5,71.5,-2.4649725,-2.2187557
2010-01-01T00:00:00Z,1000.0,7.5,71.75,-2.373664,-2.1020565
2010-01-01T00:00:00Z,1000.0,7.5,72.0,-2.2545233,-2.0117245
2010-01-01T00:00:00Z,1000.0,7.75,68.0,-3.356574,-3.6274471
2010-01-01T00:00:00Z,1000.0,7.75,68.25,-3.2804022,-3.5444393
2010-01-01T00:00:00Z,1000.0,7.75,68.5,-3.200324,-3.49024
2010-01-01T00:00:00Z,1000.0,7.75,68.75,-3.1231756,-3.4077206
2010-01-01T00:00:00Z,1000.0,7.75,69.0,-3.0357733,-3.3383846
2010-01-01T00:00:00Z,1000.0,7.75,69.25,-2.9791327,-3.2959042
2010-01-01T00:00:00Z,1000.0,7.75,69.5,-2.8780584,-3.213873
2010-01-01T00:00:00Z,1000.0,7.75,69.75,-2.8258123,-3.147955
2010-01-01T00:00:00Z,1000.0,7.75,70.0,-2.7569647,-3.0190487
2010-01-01T00:00:00Z,1000.0,7.75,70.25,-2.698371,-2.948248
2010-01-01T00:00:00Z,1000.0,7.75,70.5,-2.639289,-2.8364315
2010-01-01T00:00:00Z,1000.0,7.75,70.75,-2.5401678,-2.7080135
2010-01-01T00:00:00Z,1000.0,7.75,71.0,-2.4932928,-2.5800838
2010-01-01T00:00:00Z,1000.0,7.75,71.25,-2.4063787,-2.432623
2010-01-01T00:00:00Z,1000.0,7.75,71.5,-2.3263006,-2.3432674
2010-01-01T00:00:00Z,1000.0,7.75,71.75,-2.219367,-2.2128963
2010-01-01T00:00:00Z,1000.0,7.75,72.0,-2.1124334,-2.1191463
2010-01-01T00:00:00Z,1000.0,8.0,68.0,-3.2847967,-3.6557674
2010-01-01T00:00:00Z,1000.0,8.0,68.25,-3.2135077,-3.5952206
2010-01-01T00:00:00Z,1000.0,8.0,68.5,-3.1563787,-3.5493221
2010-01-01T00:00:00Z,1000.0,8.0,68.75,-3.0748358,-3.469244
2010-01-01T00:00:00Z,1000.0,8.0,69.0,-2.9869452,-3.4038143
2010-01-01T00:00:00Z,1000.0,8.0,69.25,-2.9132147,-3.3584042
2010-01-01T00:00:00Z,1000.0,8.0,69.5,-2.8092108,-3.276373
2010-01-01T00:00:00Z,1000.0,8.0,69.75,-2.7491522,-3.2080135
2010-01-01T00:00:00Z,1000.0,8.0,70.0,-2.6588202,-3.0947323
2010-01-01T00:00:00Z,1000.0,8.0,70.25,-2.6075506,-3.0390682
2010-01-01T00:00:00Z,1000.0,8.0,70.5,-2.5304022,-2.9174862
2010-01-01T00:00:00Z,1000.0,8.0,70.75,-2.4405584,-2.806158
2010-01-01T00:00:00Z,1000.0,8.0,71.0,-2.3731756,-2.681158
2010-01-01T00:00:00Z,1000.0,8.0,71.25,-2.262824,-2.5424862
2010-01-01T00:00:00Z,1000.0,8.0,71.5,-2.191535,-2.4633846
2010-01-01T00:00:00Z,1000.0,8.0,71.75,-2.0616522,-2.3066463
2010-01-01T00:00:00Z,1000.0,8.0,72.0,-1.9679022,-2.222662
2010-01-01T00:00:00Z,1000.0,8.25,68.0,-3.2096014,-3.7021542
2010-01-01T00:00:00Z,1000.0,8.25,68.25,-3.1578436,-3.6611385
2010-01-01T00:00:00Z,1000.0,8.25,68.5,-3.1163397,-3.616705
2010-01-01T00:00:00Z,1000.0,8.25,68.75,-3.0304022,-3.5522518
2010-01-01T00:00:00Z,1000.0,8.25,69.0,-2.944953,-3.4907284
2010-01-01T00:00:00Z,1000.0,8.25,69.25,-2.8590155,-3.4360409
2010-01-01T00:00:00Z,1000.0,8.25,69.5,-2.760871,-3.3515682
2010-01-01T00:00:00Z,1000.0,8.25,69.75,-2.6763983,-3.2915096
2010-01-01T00:00:00Z,1000.0,8.25,70.0,-2.5689764,-3.1865292
2010-01-01T00:00:00Z,1000.0,8.25,70.25,-2.5138006,-3.1250057
2010-01-01T00:00:00Z,1000.0,8.25,70.5,-2.4176092,-3.003912
2010-01-01T00:00:00Z,1000.0,8.25,70.75,-2.340949,-2.8935604
2010-01-01T00:00:00Z,1000.0,8.25,71.0,-2.2515936,-2.7670956
2010-01-01T00:00:00Z,1000.0,8.25,71.25,-2.1348944,-2.6518612
2010-01-01T00:00:00Z,1000.0,8.25,71.5,-2.0601873,-2.573248
2010-01-01T00:00:00Z,1000.0,8.25,71.75,-1.9210272,-2.4023495
2010-01-01T00:00:00Z,1000.0,8.25,72.0,-1.8438787,-2.3271542
2010-01-01T00:00:00Z,1000.0,8.5,68.0,-3.1475897,-3.77149
2010-01-01T00:00:00Z,1000.0,8.5,68.25,-3.103156,-3.7275448
2010-01-01T00:00:00Z,1000.0,8.5,68.5,-3.061164,-3.6977596
2010-01-01T00:00:00Z,1000.0,8.5,68.75,-2.98841,-3.6455135
2010-01-01T00:00:00Z,1000.0,8.5,69.0,-2.9073553,-3.5781307
2010-01-01T00:00:00Z,1000.0,8.5,69.25,-2.809699,-3.5278378
2010-01-01T00:00:00Z,1000.0,8.5,69.5,-2.713996,-3.4419003
2010-01-01T00:00:00Z,1000.0,8.5,69.75,-2.6085272,-3.3862362
2010-01-01T00:00:00Z,1000.0,8.5,70.0,-2.48841,-3.2856503
2010-01-01T00:00:00Z,1000.0,8.5,70.25,-2.413703,-3.2163143
2010-01-01T00:00:00Z,1000.0,8.5,70.5,-2.3145819,-3.0922909
2010-01-01T00:00:00Z,1000.0,8.5,70.75,-2.2423162,-2.9663143
2010-01-01T00:00:00Z,1000.0,8.5,71.0,-2.137824,-2.8525448
2010-01-01T00:00:00Z,1000.0,8.5,71.25,-2.0362616,-2.7441463
2010-01-01T00:00:00Z,1000.0,8.5,71.5,-1.9444647,-2.6552792
