time,latitude,longitude,uwnd,vwnd,wspd,upstr,vpstr,nobs
UTC,degrees_north,degrees_east,m/s,m/s,m/s,m2/s2,m2/s2,count
2010-01-01T00:00:00Z,7.375,69.875,-3.1114569,-3.1023011,4.921261,-15.931148,-16.724653,80.0
2010-01-01T00:00:00Z,7.375,70.125,-3.048892,-3.0427883,4.831991,-15.381798,-16.175303,81.0
2010-01-01T00:00:00Z,7.375,70.375,-2.9817493,-2.8001587,4.6385746,-14.588292,-14.496734,77.0
2010-01-01T00:00:00Z,7.375,70.625,-3.0168467,-2.7452235,4.6271296,-14.649331,-14.16102,79.0
2010-01-01T00:00:00Z,7.375,70.875,-2.9161325,-2.6902885,4.4978037,-14.008423,-13.672709,83.0
2010-01-01T00:00:00Z,7.375,71.125,-2.8673015,-2.5834706,4.3902225,-13.5506315,-12.909723,83.0
2010-01-01T00:00:00Z,7.375,71.375,-2.8703532,-2.3133736,4.2540298,-13.336995,-11.200635,82.0
2010-01-01T00:00:00Z,7.375,71.625,-2.7650614,-2.1928217,4.169338,-12.696087,-10.315571,80.0
2010-01-01T00:00:00Z,7.625,69.625,-2.9817493,-3.1328206,4.828558,-14.924006,-16.663614,82.0
2010-01-01T00:00:00Z,7.625,69.875,-2.9802234,-3.0839894,4.8010907,-14.8019285,-16.419458,83.0
2010-01-01T00:00:00Z,7.625,70.125,-2.8734052,-3.04584,4.715255,-14.008423,-15.900628,82.0
2010-01-01T00:00:00Z,7.625,70.375,-2.8566196,-2.9298663,4.5893617,-13.764267,-15.076603,82.0
2010-01-01T00:00:00Z,7.625,70.625,-2.8505156,-2.9115546,4.564183,-13.733748,-14.893487,85.0
2010-01-01T00:00:00Z,7.625,70.875,-2.8596716,-2.8688273,4.522982,-13.733748,-14.649331,80.0
2010-01-01T00:00:00Z,7.625,71.125,-2.8001587,-2.6551912,4.381067,-13.153878,-13.459073,84.0
2010-01-01T00:00:00Z,7.625,71.375,-2.6841848,-2.5285356,4.259752,-12.3603735,-12.665567,83.0
2010-01-01T00:00:00Z,7.625,71.625,-2.560581,-2.3271072,4.109825,-11.597387,-11.322712,85.0
2010-01-01T00:00:00Z,7.875,69.625,-2.9008727,-3.2014892,4.821691,-14.374657,-17.029848,81.0
2010-01-01T00:00:00Z,7.875,69.875,-2.8184702,-3.0977232,4.71411,-13.703229,-16.388939,82.0
2010-01-01T00:00:00Z,7.875,70.125,-2.7467496,-3.056522,4.6271296,-13.184398,-15.992187,84.0
2010-01-01T00:00:00Z,7.875,70.375,-2.6551912,-3.051944,4.5035257,-12.451932,-15.748031,84.0
2010-01-01T00:00:00Z,7.875,70.625,-2.6338277,-2.9817493,4.439435,-12.268815,-15.2292,84.0
2010-01-01T00:00:00Z,7.875,70.875,-2.61399,-2.949704,4.3856444,-12.085698,-14.924006,83.0
2010-01-01T00:00:00Z,7.875,71.125,-2.62162,-2.717756,4.3043866,-11.96362,-13.764267,83.0
2010-01-01T00:00:00Z,7.875,71.375,-2.5392175,-2.5224316,4.1727715,-11.383751,-12.635048,86.0
2010-01-01T00:00:00Z,7.875,71.625,-2.4690228,-2.4995422,4.116692,-10.92596,-12.268815,83.0
2010-01-01T00:00:00Z,8.125,69.625,-2.8764572,-3.2182748,4.7885013,-14.222059,-17.243484,82.0
2010-01-01T00:00:00Z,8.125,69.875,-2.8108404,-3.167918,4.7221212,-13.6116705,-16.846731,84.0
2010-01-01T00:00:00Z,8.125,70.125,-2.6033082,-3.105353,4.577917,-12.3603735,-16.205822,84.0
2010-01-01T00:00:00Z,8.125,70.375,-2.5132759,-3.0610998,4.4405794,-11.719465,-15.686992,84.0
2010-01-01T00:00:00Z,8.125,70.625,-2.501068,-3.054996,4.4234123,-11.597387,-15.686992,86.0
2010-01-01T00:00:00Z,8.125,70.875,-2.5849965,-2.9558077,4.3524547,-11.872062,-15.107122,82.0
2010-01-01T00:00:00Z,8.125,71.125,-2.5270097,-2.7467496,4.209395,-11.261673,-13.794786,85.0
2010-01-01T00:00:00Z,8.125,71.375,-2.4278214,-2.6597693,4.106392,-10.651284,-13.245437,84.0
2010-01-01T00:00:00Z,8.125,71.625,-2.2813282,-2.5758407,3.9919438,-9.918818,-12.543489,84.0
2010-01-01T00:00:00Z,8.375,69.625,-2.8138924,-3.2899957,4.794224,-13.886345,-17.579197,81.0
2010-01-01T00:00:00Z,8.375,69.875,-2.728438,-3.2472684,4.728988,-13.214917,-17.274004,81.0
2010-01-01T00:00:00Z,8.375,70.125,-2.6338277,-3.1892815,4.6339965,-12.451932,-16.724653,82.0
2010-01-01T00:00:00Z,8.375,70.375,-2.507172,-3.1801257,4.4897923,-11.658426,-16.3279,85.0
2010-01-01T00:00:00Z,8.375,70.625,-2.397302,-3.0824635,4.402812,-10.89544,-15.748031,86.0
2010-01-01T00:00:00Z,8.375,70.875,-2.3667827,-2.9741194,4.292942,-10.590245,-15.137642,87.0
2010-01-01T00:00:00Z,8.375,71.125,-2.395776,-2.829152,4.212828,-10.559727,-14.313618,88.0
2010-01-01T00:00:00Z,8.375,71.375,-2.3271072,-2.7406456,4.0915136,-10.132454,-13.581151,85.0
2010-01-01T00:00:00Z,8.375,71.625,-2.232497,-2.6948667,4.013689,-9.735702,-13.275956,87.0
2010-01-01T00:00:00Z,8.625,69.625,-2.668925,-3.4059696,4.773623,-13.184398,-18.311665,80.0
2010-01-01T00:00:00Z,8.625,69.875,-2.6612952,-3.3083074,4.735855,-12.970762,-17.640236,81.0
2010-01-01T00:00:00Z,8.625,70.125,-2.5315876,-3.267106,4.6305633,-11.99414,-17.151926,84.0
2010-01-01T00:00:00Z,8.625,70.375,-2.4491851,-3.161814,4.5035257,-11.292192,-16.29738,88.0
2010-01-01T00:00:00Z,8.625,70.625,-2.3530488,-3.056522,4.3661885,-10.590245,-15.564915,89.0
2010-01-01T00:00:00Z,8.625,70.875,-2.3164256,-2.9619117,4.27463,-10.254532,-15.046083,88.0
2010-01-01T00:00:00Z,8.625,71.125,-2.2523346,-2.8581455,4.1533155,-9.82726,-14.435695,87.0
2010-01-01T00:00:00Z,8.625,71.375,-2.1851919,-2.7864249,4.0285673,-9.430507,-13.672709,88.0
2010-01-01T00:00:00Z,8.625,71.625,-2.1409388,-2.726912,3.9747767,-9.186352,-13.367515,86.0
2010-01-01T00:00:00Z,8.875,69.625,-2.6490874,-3.482268,4.811391,-13.306476,-18.922052,78.0
2010-01-01T00:00:00Z,8.875,69.875,-2.5834706,-3.3388267,4.7473,-12.635048,-17.97595,83.0
2010-01-01T00:00:00Z,8.875,70.125,-2.498016,-3.3342488,4.685498,-11.99414,-17.884392,85.0
2010-01-01T00:00:00Z,8.875,70.375,-2.4049318,-3.1862295,4.4897923,-11.1090765,-16.480497,89.0
2010-01-01T00:00:00Z,8.875,70.625,-2.3148994,-3.1297686,4.406245,-10.437649,-16.053225,87.0
2010-01-01T00:00:00Z,8.875,70.875,-2.3255813,-3.0397363,4.3421545,-10.37661,-15.595434,88.0
2010-01-01T00:00:00Z,8.875,71.125,-2.2645423,-2.9558077,4.2380066,-9.949337,-15.076603,86.0
2010-01-01T00:00:00Z,8.875,71.375,-2.1409388,-2.8184702,4.0526013,-9.247391,-14.008423,86.0
