time,latitude,longitude,p_msl
UTC,degrees_north,degrees_east,hPa
2020-09-28T06:00:00Z,8.5,71.5,1011.25
2020-09-28T06:00:00Z,8.5,72.5,1011.1750030517578
2020-09-28T06:00:00Z,9.5,68.5,1011.6000061035156
2020-09-28T06:00:00Z,9.5,69.5,1011.4500122070312
2020-09-28T06:00:00Z,9.5,70.5,1011.3500061035156
2020-09-28T06:00:00Z,9.5,71.5,1011.25
2020-09-28T06:00:00Z,9.5,72.5,1011.2000122070312
2020-09-28T06:00:00Z,10.5,68.5,1011.6499938964844
2020-09-28T06:00:00Z,10.5,69.5,1011.5
2020-09-28T06:00:00Z,10.5,70.5,1011.4000091552734
2020-09-28T06:00:00Z,10.5,71.5,1011.3000030517578
2020-09-28T06:00:00Z,10.5,72.5,1011.2250061035156
2020-09-28T06:00:00Z,11.5,68.5,1011.6999816894531
2020-09-28T06:00:00Z,11.5,69.5,1011.5499877929688
2020-09-28T06:00:00Z,11.5,70.5,1011.4500122070312
2020-09-28T06:00:00Z,11.5,71.5,1011.3500061035156
2020-09-28T06:00:00Z,11.5,72.5,1011.25
2020-09-28T06:00:00Z,12.5,68.5,1011.6999816894531
2020-09-28T06:00:00Z,12.5,69.5,1011.5499877929688
2020-09-28T06:00:00Z,12.5,70.5,1011.4250030517578
2020-09-28T06:00:00Z,12.5,71.5,1011.3249969482422
2020-09-28T06:00:00Z,12.5,72.5,1011.25
2020-09-28T06:00:00Z,13.5,68.5,1011.6749877929688
2020-09-28T06:00:00Z,13.5,69.5,1011.5249938964844
2020-09-28T06:00:00Z,13.5,70.5,1011.375
2020-09-28T06:00:00Z,13.5,71.5,1011.2749938964844
2020-09-28T06:00:00Z,13.5,72.5,1011.1750030517578
2020-09-28T06:00:00Z,14.5,68.5,1011.5999908447266
2020-09-28T06:00:00Z,14.5,69.5,1011.4499969482422
2020-09-28T06:00:00Z,14.5,70.5,1011.3000030517578
2020-09-28T06:00:00Z,14.5,71.5,1011.1999969482422
2020-09-28T06:00:00Z,14.5,72.5,1011.0500030517578
2020-09-28T06:00:00Z,15.5,68.5,1011.4499969482422
2020-09-28T06:00:00Z,15.5,69.5,1011.3249969482422
2020-09-28T06:00:00Z,15.5,70.5,1011.1999969482422
2020-09-28T06:00:00Z,15.5,71.5,1011.0999908447266
2020-09-28T06:00:00Z,15.5,72.5,1010.9499969482422
2020-09-28T06:00:00Z,16.5,68.5,1011.3000030517578
2020-09-28T06:00:00Z,16.5,69.5,1011.1999969482422
2020-09-28T06:00:00Z,16.5,70.5,1011.0999908447266
2020-09-28T06:00:00Z,16.5,71.5,1011.0
2020-09-28T06:00:00Z,16.5,72.5,1010.8500061035156
2020-09-28T06:00:00Z,17.5,68.5,1011.1499938964844
2020-09-28T06:00:00Z,17.5,69.5,1011.0500030517578
2020-09-28T06:00:00Z,17.5,70.5,1010.9750061035156
2020-09-28T06:00:00Z,17.5,71.5,1010.9000091552734
2020-09-28T06:00:00Z,17.5,72.5,1010.75
2020-09-28T06:00:00Z,18.5,68.5,1011.0
2020-09-28T06:00:00Z,18.5,69.5,1010.9000091552734
2020-09-28T06:00:00Z,18.5,70.5,1010.8250122070312
2020-09-28T06:00:00Z,18.5,71.5,1010.75
2020-09-28T06:00:00Z,18.5,72.5,1010.6249847412109
2020-09-28T06:00:00Z,19.5,68.5,1010.9000091552734
2020-09-28T06:00:00Z,19.5,69.5,1010.7749938964844
2020-09-28T06:00:00Z,19.5,70.5,1010.6749877929688
2020-09-28T06:00:00Z,19.5,71.5,1010.5749969482422
2020-09-28T06:00:00Z,19.5,72.5,1010.4250030517578
2020-09-28T06:00:00Z,20.5,68.5,1010.75
2020-09-28T06:00:00Z,20.5,69.5,1010.5999908447266
2020-09-28T06:00:00Z,20.5,70.5,1010.4749908447266
2020-09-28T06:00:00Z,20.5,71.5,1010.3499908447266
2020-09-28T06:00:00Z,20.5,72.5,1010.1750030517578
2020-09-28T12:00:00Z,6.5,68.5,1009.2421875
2020-09-28T12:00:00Z,6.5,69.5,1009.2171783447266
2020-09-28T12:00:00Z,6.5,70.5,1009.1421813964844
2020-09-28T12:00:00Z,6.5,71.5,1009.0421905517578
2020-09-28T12:00:00Z,6.5,72.5,1008.9421844482422
2020-09-28T12:00:00Z,7.5,68.5,1009.1171875
2020-09-28T12:00:00Z,7.5,69.5,1009.0421905517578
2020-09-28T12:00:00Z,7.5,70.5,1008.9421844482422
2020-09-28T12:00:00Z,7.5,71.5,1008.8421936035156
2020-09-28T12:00:00Z,7.5,72.5,1008.7421875
2020-09-28T12:00:00Z,8.5,68.5,1008.9921875
2020-09-28T12:00:00Z,8.5,69.5,1008.8921966552734
2020-09-28T12:00:00Z,8.5,70.5,1008.7921905517578
2020-09-28T12:00:00Z,8.5,71.5,1008.6671905517578
2020-09-28T12:00:00Z,8.5,72.5,1008.5421905517578
2020-09-28T12:00:00Z,9.5,68.5,1008.9421997070312
2020-09-28T12:00:00Z,9.5,69.5,1008.8171997070312
2020-09-28T12:00:00Z,9.5,70.5,1008.6921844482422
2020-09-28T12:00:00Z,9.5,71.5,1008.5421905517578
2020-09-28T12:00:00Z,9.5,72.5,1008.3921966552734
2020-09-28T12:00:00Z,10.5,68.5,1008.9171905517578
2020-09-28T12:00:00Z,10.5,69.5,1008.7671966552734
2020-09-28T12:00:00Z,10.5,70.5,1008.6171875
2020-09-28T12:00:00Z,10.5,71.5,1008.4671936035156
