"Year","Month","UPW.1","UPW.2","UPW.3","UPW.4","UPW.5"
1981,1,NA,NA,NA,NA,NA
1981,2,NA,NA,NA,NA,NA
1981,3,NA,NA,NA,NA,NA
1981,4,NA,NA,NA,NA,NA
1981,5,NA,NA,NA,NA,NA
1981,6,NA,NA,NA,NA,NA
1981,7,NA,NA,NA,NA,NA
1981,8,NA,NA,NA,NA,NA
1981,9,NA,NA,NA,NA,NA
1981,10,NA,NA,NA,NA,NA
1981,11,-0.755604390243903,-0.421731142857144,-0.132065712984055,-0.239388895522389,0.345667027027027
1981,12,-0.426301881873727,-0.695140571428571,-0.769027235955054,-0.706467602251408,-0.382727652173912
1982,1,-0.500792080808083,-0.344823330396476,-0.217889617977526,-0.258763428571427,0.442452703517588
1982,2,-0.512101419354838,-0.203074065645513,-0.220172843049326,-0.387285019011408,-0.204784607594938
1982,3,-0.505089026915115,-0.303787391705068,-0.0295543798627023,-0.0324552108317206,-0.0719970638297873
1982,4,-0.221544016771489,0.0846646182669808,0.168048587155962,-0.00334335009671349,0.211471123287669
1982,5,-0.0174793333333341,0.505681049180328,0.504009048081958,0.694267028818,1.41438301697611
1982,6,2.3400166056166,3.43625785656729,0.281613022113021,2.20094778545307,2.51725808796801
1982,7,-0.22837940379404,-0.426079519186317,-0.0938684210526333,2.66499636803874,3.21352512703028
1982,8,0.440102194553415,0.366952450587291,0.394449365498176,0.458396760343479,1.32273706427015
1982,9,0.209743250591536,1.05840574017224,0.677450259795094,0.393876848985208,1.52078068589961
1982,10,-0.193048711864407,-0.374476169014084,-0.0676083773584892,0.422458645914396,1.18322139534883
1982,11,-0.840553298053301,-0.469148093023254,-0.567017840546697,-0.718745903288202,-0.292506436891824
1982,12,-0.414210804123712,-0.221649321100919,0.0710651583710415,-0.245020053537285,0.00754292473118312
1983,1,-0.0229957530864198,-0.093936036036034,0.261231531531532,-0.132589731800767,-0.603925030927837
1983,2,-0.264062833333334,-0.292851935034804,-0.28372109090909,-0.416072704980841,-0.326495999999999
1983,3,-0.395168394250515,-0.181014956521739,-0.183241534246577,-0.304307593090211,-0.152194526315789
1983,4,-0.617773685950411,-0.455112073394496,-0.423363272727272,-0.694536077071291,-0.0871042088772853
1983,5,-0.407998291581109,-0.387925818181817,-0.1830651954023,0.010141511422411,-0.244009098428453
1983,6,1.13420970435676,1.35020002587399,1.31865860104229,1.13850623742455,1.27411160473883
1983,7,-0.00776580993413489,-0.152595238095238,-0.256765199148255,0.179343189924374,0.800936189484172
1983,8,1.46432432432432,1.42172414548642,1.65838626651126,1.53425083701621,1.04148913951546
1983,9,0.582254434484074,0.649725365543546,0.0151567060017754,-0.0691488642860847,1.41217754010695
1983,10,0.673694655172415,1.21142331712004,0.75388662962963,0.812607248532291,1.58382
1983,11,-0.414506257261412,-0.073671090909091,-0.220526022471912,-0.471445254174395,0.238176387096775
1983,12,-0.227817171548118,0.177218453089246,0.264443407744878,-0.0836040446096646,-0.0550411152815009
1984,1,-0.768464164609053,-0.809053471783294,-0.883186363636366,-0.827223980523435,-0.655931818181816
1984,2,-1.23483854545455,-1.04437618348624,-1.01689036363636,-1.31628818426104,-0.905317360235394
1984,3,-0.496382020618555,-0.311407821029082,0.0204732348993275,0.0216725175600736,0.138846367346936
1984,4,-0.30228717012448,-0.0147453658536563,-0.0680578849912123,-0.152093731816979,-0.0532830188679263
1984,5,0.190821762270847,0.752812203337925,0.68116855834953,0.742680015365409,1.02927455565157
1984,6,1.23571790006325,1.56032507739938,0.875740259740262,1.7635146690255,1.55675
1984,7,0.373077336197639,0.295449905989791,0.720175000000001,1.72234107027724,2.21177597673374
1984,8,0.807861242024941,1.08213324751376,2.45215403508772,2.70188204289349,2.16508372423596
1984,9,0.340203920492879,0.833461645530466,1.03981142430629,1.31085784031061,3.29243152680652
1984,10,0.507182315789475,0.633707438914026,0.409738191780821,1.06691157815442,1.81948994594595
1984,11,-0.490956654244307,-0.209381877551021,-0.33145474439462,-0.490608709796671,0.343113948424069
1984,12,-0.426396882703777,-0.126138771929824,0.273471755991284,0.225089283422459,0.463683353535352
1985,1,-0.916061802575108,-0.576762157517901,0.0944607159904542,-0.41167025540275,0.0716208361581927
1985,2,-0.702950358531318,-0.627386795180723,-0.527303716390055,-0.846119477911646,-0.360392911010557
1985,3,-0.131035655172411,-0.274930226415094,0.0573009056603802,0.262555491193737,0.275140432132964
1985,4,0.0420251623931627,-0.0237937204463776,-0.158770116009283,-0.110152742291362,0.301564789936492
1985,5,0.0148005256663488,0.449373114529621,0.14513920559596,0.0219079207920778,0.723470714919134
1985,6,-0.0222523943661983,0.774744666511133,1.04168319990718,1.58454053625258,2.89158213412978
1985,7,0.689214465937763,1.03831098339719,0.94698488273297,1.63199490802375,2.54202449800639
1985,8,0.97157876004859,1.89177428805813,1.37607689718997,1.57474808816914,2.6194365705113
1985,9,0.167768844867506,0.802037837336549,0.698518429225235,0.986914381139762,1.77025604769366
1985,10,0.0985764848484862,-0.0976583461538461,-0.518896372621015,-0.60155478556263,0.973378795499148
1985,11,-0.329685218884119,-0.16527527186761,0.278276890995262,0.332398483558993,0.195125673130196
1985,12,-0.281355438016529,-0.157609324263039,-0.257372190476193,-0.413259389830507,-0.226076664907652
1986,1,-0.290140444444443,-0.248198222222221,-0.354606961968681,-0.493859140186917,-0.0846307928388761
1986,2,-0.449746122448982,-0.335713777777777,-0.603135167420817,-0.900662429906543,-0.736126560411311
1986,3,-0.583651752665247,-0.572597433962262,-0.711908463356977,-1.00975207889546,-0.0472916837249926
