"Year","Month","SST.1","SST.2","SST.3","SST.4","SST.5","SST.6","SST.7","SST.8","SST.9","SST.10","SST.11","SST.12","SST.13","SST.14"
1981,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,9,27.4514344262295,27.0586524822695,26.6945588235294,26.5638223938224,25.802893081761,27.6936196319018,27.5250295857988,27.4582596685083,27.2805,27.1620458891013,27.4278649237473,27.5553761061947,27.2030616740088,26.2282151029748
1981,10,28.563431085044,27.95155,27.9668072289157,28.1793908629442,27.7274634146341,28.4971501706485,28.4434878587196,28.1726356589147,28.418075,28.3032390745501,28.4314505494505,28.5987308533917,28.6457653061224,28.6371829573935
1981,11,28.2104514672686,28.4637922077922,28.4502941176471,28.1871291866029,27.697625,28.24288,28.374416,28.363328,28.3456333333333,27.9542446043165,28.4745840130506,28.3020338983051,28.2204618117229,28.1307132459971
1981,12,27.9041203703704,27.9416397849462,28.3023896103896,28.4596388261851,28.409397993311,27.953216,27.978624,28.005632,28.167648,28.50328,28.112544,28.438768,28.407072,27.8083970223325
1982,1,27.4891463414634,27.4663372093023,27.5811956521739,27.6919277108434,27.1135125448029,27.511104,27.597712,27.609472,27.709568,27.682208,27.813648,27.722016,27.735936,27.3501309164149
1982,2,27.750022675737,27.7589071038251,27.6546685082873,27.8965525114155,27.8601166180758,27.591648,27.609072,27.566368,27.852704,28.1710256410256,27.750208,28.18104,27.787568,27.3695041728031
1982,3,28.2192116182573,28.2366512702079,28.3803890160183,28.6554037267081,28.7052925531915,28.11048,28.36088091354,28.411621187801,28.6451524879615,28.893430420712,28.6171428571429,28.7071955128205,28.6991185897436,27.6695429362881
1982,4,29.077,28.8992452830189,29.1869099756691,29.6031018518519,29.7957692307692,29.3305709342561,28.9524094202899,29.2640703517588,29.4162745098039,29.9477631578947,29.3793884297521,29.786354679803,29.8360473588342,28.2902887537994
1982,5,28.5753603603604,28.2836217948718,28.9919178082192,29.4861538461538,28.7692492492492,29.1244568245125,29.2011656441718,29.2776829268293,29.7881196581197,29.7224736842105,30.0901727861771,29.8821761658031,30.5335294117647,27.8507660083782
1982,6,26.5115584415584,26.5660714285714,26.8229515418502,26.1753333333333,25.542027027027,26.6982352941176,26.8475903614458,27.4003816793893,27.3240789473684,26.6323831775701,28.0548,28.3816216216216,28.96,26.8675204918033
1982,7,NA,NA,26.985,24.4441379310345,24.3512418300654,NA,NA,NA,25.7819444444444,25.5111920529801,NA,26.3098958333333,28.0075510204082,27.2497478991597
1982,8,25.8249019607843,25.854126984127,26.3407142857143,25.3515909090909,25.69,26.4023373493976,26.4573986486486,26.796862745098,26.0768571428571,26.0841610738255,26.9716666666667,26.5329757785467,27.2362121212121,25.7915454545455
1982,9,26.4993693693694,25.6070634920635,26.6541340782123,27.0613857677903,26.2397735849057,27.0231084337349,27.1519686800895,27.6260753880266,27.6184615384615,27.956697761194,27.9601691729323,27.9221824686941,27.8228158844765,27.0234673024523
1982,10,28.7794084507042,28.5534870317003,28.2828882833787,28.1208894230769,27.4411003236246,28.8590034965035,28.6184571428571,28.581344,28.768265993266,28.4381443298969,28.9473557692308,29.002944,29.1724,29.071486169714
1982,11,29.072049689441,28.9133746898263,29.2446330275229,28.9610772833724,29.0796785714286,28.9618612521151,28.9468288288288,28.8936594202899,28.7824228028504,29.1860729613734,28.8403206412826,28.6544103773585,28.8743594646272,29.0886755270394
1982,12,29.0671092077088,29.0427407407407,28.7787674418605,28.8521030927835,28.2331052631579,29.051488,28.986032,28.751792,28.805872,28.54824,28.7041720779221,28.6458493589744,28.4843269230769,28.8227743467933
1983,1,27.7968409090909,27.5598982188295,27.2570256410256,27.4386696230599,27.4251840490798,27.933824,27.69416,27.557056,27.456208,27.639616,27.52464,27.453376,27.3172,27.6657729941292
1983,2,27.7594618834081,27.721475,27.5983458646617,27.8917864923747,28.0740857142857,27.72944,27.641968,27.885232,27.6263563402889,28.0546869983949,27.8057860615883,27.9690690208668,27.8877403846154,27.1488125
1983,3,27.5747145877378,27.8614988290398,28.0941607565012,28.267447257384,28.2288172043011,27.758272,27.810832,28.14264,28.3254838709677,28.3319261637239,28.34376,28.4901282051282,28.5894551282051,27.1812220149254
1983,4,28.2844871794872,28.6166242038217,28.8072335025381,29.1244675324675,29.1219033232628,28.2951833333333,28.5946887159533,28.7268782161235,29.046738410596,29.1200816993464,28.9552445193929,29.0974683544304,29.0852551020408,27.4634393638171
1983,5,29.1475862068966,29.1190217391304,29.125652173913,28.8105555555556,28.7083505154639,29.0191557223265,29.0506461538462,28.8617293233083,28.9573333333333,29.0195135135135,29.2986413043478,29.2255913978495,29.1123224043716,28.8024599260173
1983,6,27.8253072625698,27.6773640167364,27.5346984126984,27.8546153846154,27.7059810126582,28.4449809885932,28.5016076294278,27.9116481069042,28.364898336414,28.5169166666667,28.7495967741935,28.8910986964618,29.0198591549296,28.3309220779221
1983,7,28.5118333333333,29.0177906976744,29.1593220338983,29.0515267175573,27.0983333333333,28.3528191489362,28.7987096774194,29.1571354166667,29.025525,28.9181593406593,28.9302479338843,28.9885144927536,29.1346678321678,28.1420603015075
