"Year","Month","Dates","SSH.1","SSH.2","SSH.3","SSH.4","SSH.5","SSH.6","SSH.7","SSH.8","SSH.9","SSH.10","SSH.11","SSH.12","SSH.13","SSH.14"
"1994","01",1994-01-16 12:00:00,2.10486878395081,2.12394065856934,2.12399666649955,2.1008888053894,2.12949739331784,2.0333240032196,2.0863539981842,2.1227583694458,2.10610239982605,2.12925120353699,2.15563280105591,2.13351362228394,2.18584799766541,2.10417206262805
"1994","02",1994-02-15 00:00:00,2.06050999641418,2.087420018514,2.06128858384632,2.0602179813385,2.06763001110243,2.02492879867554,2.08601718902588,2.08316521644592,2.05647921562195,2.07815599441528,2.05222640037537,2.0798371887207,2.0646388053894,2.0432926772796
"1994","03",1994-03-16 12:00:00,2.03164717674255,2.05546730359395,2.02825905027844,2.05622882843018,2.04132347521575,2.02987038612366,2.06212239265442,2.05890480041504,2.06193561553955,2.08223441123962,2.05539158821106,2.08611280441284,2.06762360572815,2.02152257604697
"1994","04",1994-04-16 00:00:00,2.02169838905334,2.02148200670878,2.05308809734526,2.04877199172974,2.03162344642307,2.01485239982605,2.01693398475647,2.04594638824463,2.04428359031677,2.03556279182434,2.0362652015686,2.02502919197082,2.0147252035141,2.02413093920836
"1994","05",1994-05-16 12:00:00,1.9360059928894,1.94469734032949,1.92759239105951,1.94338241100311,1.93890349242998,1.98851641178131,1.98076560497284,1.98127001285553,2.01287278175354,1.94299279689789,2.05006278991699,2.00222640037537,2.04795118331909,1.94374670195825
"1994","06",1994-06-16 00:00:00,1.88731920719147,1.88375465869904,1.87845856802804,1.87431719303131,1.8664821697318,1.88459040641785,1.89240119457245,1.88720918655396,1.88392680168152,1.86228999614716,1.9035599899292,1.87896880149841,1.90670000076294,1.8788951561623
"1994","07",1994-07-16 12:00:00,1.88759400844574,1.88568398157756,1.87912857532501,1.88287760257721,1.89986739469611,1.8847047996521,1.89069121360779,1.88567639350891,1.87460479259491,1.88907760620117,1.89218559265137,1.86908880233765,1.88348320484161,1.88405277802772
"1994","08",1994-08-16 12:00:00,1.85236239910126,1.83329133192698,1.8381571542649,1.87032361030579,1.87790566423665,1.87368880271912,1.85756800174713,1.85435839653015,1.86316440105438,1.88723879814148,1.86533879756928,1.85514840602875,1.84345119953156,1.87165124023084
"1994","09",1994-09-16 00:00:00,1.91678480625153,1.9141580025355,1.90738095555987,1.92547600269318,1.91599696097167,1.88748319625854,1.91466320037842,1.92120599269867,1.90450240135193,1.91424320220947,1.89173720359802,1.85979679584503,1.84444399833679,1.89643319488801
"1994","10",1994-10-16 12:00:00,1.97222599983215,1.96739132404327,1.99571046942756,2.00445599079132,1.99101565195167,1.95589239120483,1.95399519443512,1.98031360149384,1.984739985466,1.99613640785217,1.9461936044693,1.94815079689026,1.91185880184174,1.96320618673698
"1994","11",1994-11-16 00:00:00,1.97659679889679,2.00584265391032,2.00079857735407,2.0002919960022,2.01109914157702,1.95933040618896,1.9879395866394,1.99853039264679,2.00039521217346,2.02390839576721,1.99355118751526,2.03074158668518,2.03475678443909,1.97735413079409
"1994","12",1994-12-16 12:00:00,1.98639200210571,2.02065663337708,1.9981476125263,1.95680880069733,1.98649476922077,1.94429120063782,1.98652040958405,1.95571119308472,1.91857719421387,2.00314840316772,1.92011759757996,2.00667078495026,2.00876120567322,1.97339938227663
"1995","01",1995-01-16 12:00:00,2.03162078857422,2.06754999160767,2.01495762098403,2.01992162704468,2.01977912239406,1.98554040431976,2.04499797821045,2.026775598526,2.04023320198059,2.0376743888855,2.08478077888489,2.09299320220947,2.14378162384033,1.99658906336912
"1995","02",1995-02-15 00:00:00,2.01753081321716,2.0330060005188,2.04897478648594,2.07297800064087,2.04381519815196,2.00845319271088,2.01637360572815,2.05609882354736,2.08055000305176,2.09040439605713,2.0648175907135,2.07734280586243,2.04928559303284,1.98655927427036
"1995","03",1995-03-16 12:00:00,2.04324080467224,2.0384460290273,2.05187904267084,2.0738992023468,2.07887173735577,2.02347839355469,2.01940760135651,2.04020080566406,2.07695159912109,2.10017079353333,2.07685441017151,2.08260522842407,2.06448120117187,2.00233639884241
"1995","04",1995-04-16 00:00:00,1.99184519767761,2.01550599733988,2.02641190801348,2.05493200302124,2.03705695401067,2.01536678314209,2.01647760391235,2.02833040237427,2.05410241127014,2.07245239257812,2.03618558883667,2.08515559196472,2.06190402030945,1.99247278257744
